t v1 a1 v2 a2 v3 a3 v4 a4
1000 4.159 -1.88 4.188 -2.35 4.103 -0.39 4.207 -0.41
2000 4.159 -1.93 4.188 -2.45 4.103 -0.47 4.202 -0.41
3000 4.159 -1.93 4.188 -2.43 4.103 -0.37 4.202 -0.40
4000 4.155 -1.97 4.188 -2.43 4.103 -0.40 4.207 -0.43
5000 4.155 -1.86 4.188 -2.44 4.103 -0.29 4.207 -0.33
6000 4.155 -1.84 4.188 -2.44 4.103 -0.23 4.202 -0.36
7000 4.159 -1.74 4.188 -2.43 4.103 -0.22 4.207 -0.33
8000 4.155 -1.74 4.188 -2.39 4.103 -0.27 4.207 -0.38
9000 4.155 -1.82 4.188 -2.42 4.103 -0.21 4.202 -0.33
10000 4.159 -1.80 4.192 -2.41 4.103 -0.26 4.207 -0.43
11000 4.159 -1.79 4.183 -2.47 4.103 -0.22 4.207 -0.36
12000 4.159 -1.88 4.188 -2.52 4.103 -0.25 4.207 -0.43
13000 4.159 -1.86 4.188 -2.64 4.103 -0.23 4.207 -0.35
14000 4.159 -1.82 4.188 -2.47 4.103 -0.32 4.207 -0.32
15000 4.159 -1.89 4.188 -2.68 4.103 -0.24 4.207 -0.42
16000 4.159 -1.88 4.188 -2.51 4.103 -0.26 4.207 -0.40
17000 4.155 -1.82 4.188 -2.49 4.103 -0.31 4.202 -0.48
18000 4.159 -1.88 4.188 -2.43 4.103 -0.29 4.207 -0.36
19000 4.159 -1.87 4.188 -2.71 4.103 -0.16 4.207 -0.36
20000 4.155 -1.96 4.188 -2.59 4.103 -0.28 4.207 -0.41
21000 4.159 -1.88 4.188 -2.44 4.103 -0.32 4.207 -0.33
22000 4.155 -1.86 4.188 -2.44 4.103 -0.17 4.207 -0.38
23000 4.155 -1.85 4.188 -2.44 4.103 -0.27 4.207 -0.38
24000 4.159 -1.88 4.188 -2.43 4.103 -0.25 4.207 -0.35
25000 4.155 -1.91 4.188 -2.41 4.103 -0.29 4.202 -0.34
26000 4.155 -1.91 4.188 -2.47 4.103 -0.28 4.202 -0.23
27000 4.155 -1.82 4.188 -2.42 4.103 -0.31 4.207 -0.17
28000 4.159 -1.87 4.188 -2.47 4.098 -0.28 4.207 -0.21
29000 4.159 -1.86 4.183 -2.47 4.103 -0.28 4.207 -0.25
30000 4.159 -1.86 4.188 -2.44 4.103 -0.32 4.207 -0.23
31000 4.159 -1.84 4.183 -2.47 4.103 -0.35 4.207 -0.32
32000 4.155 -1.95 4.188 -2.48 4.103 -0.39 4.207 -0.35
33000 4.155 -1.87 4.188 -2.42 4.103 -0.39 4.207 -0.39
34000 4.159 -1.89 4.188 -2.44 4.103 -0.36 4.207 -0.33
35000 4.155 -1.93 4.188 -2.48 4.103 -0.39 4.207 -0.32
36000 4.159 -1.90 4.188 -2.47 4.103 -0.40 4.207 -0.40
37000 4.155 -1.89 4.188 -2.54 4.103 -0.40 4.207 -0.45
38000 4.159 -1.90 4.188 -2.52 4.103 -0.35 4.207 -0.28
39000 4.159 -2.78 4.188 -2.45 4.103 -0.05 4.207 -0.33
40000 4.159 -1.88 4.188 -2.44 4.103 -0.37 4.207 -0.48
41000 4.107 535.52 4.136 535.84 4.046 529.60 4.155 550.06
42000 4.107 534.02 4.136 534.82 4.046 528.91 4.155 549.55
43000 4.107 533.28 4.131 534.24 4.046 528.61 4.155 549.16
44000 4.103 533.05 4.131 534.00 4.046 528.26 4.150 548.69
45000 4.103 532.74 4.131 533.63 4.041 528.01 4.150 548.36
46000 4.103 532.70 4.131 533.50 4.041 527.73 4.150 548.10
47000 4.103 532.34 4.131 533.17 4.041 527.45 4.150 547.76
48000 4.103 532.01 4.131 532.93 4.041 527.27 4.145 547.69
49000 4.103 531.81 4.126 532.72 4.046 527.20 4.150 547.45
50000 4.103 531.57 4.126 532.61 4.041 527.08 4.145 547.20
51000 4.103 531.32 4.126 532.27 4.041 526.97 4.145 547.10
52000 4.103 531.31 4.126 532.28 4.041 526.77 4.145 546.91
53000 4.103 531.20 4.126 532.07 4.041 526.76 4.145 546.69
54000 4.098 530.91 4.126 531.98 4.041 526.67 4.145 546.68
55000 4.093 530.80 4.126 531.77 4.041 526.58 4.150 546.55
56000 4.098 530.66 4.126 531.71 4.041 526.41 4.145 546.39
57000 4.098 530.54 4.122 531.54 4.041 526.31 4.145 546.28
58000 4.098 530.49 4.122 531.51 4.041 526.20 4.145 546.09
59000 4.093 530.39 4.122 531.29 4.041 526.07 4.140 545.97
60000 4.093 530.05 4.122 531.13 4.036 525.96 4.145 545.93
61000 4.093 529.94 4.122 530.96 4.041 525.92 4.140 545.82
62000 4.098 529.92 4.122 530.84 4.036 525.76 4.140 545.71
63000 4.093 529.74 4.122 530.77 4.036 525.73 4.140 545.66
64000 4.093 529.77 4.122 530.76 4.036 525.55 4.140 545.38
65000 4.093 529.60 4.122 530.63 4.036 525.54 4.140 545.28
66000 4.093 529.39 4.122 530.45 4.036 525.48 4.140 545.30
67000 4.093 529.31 4.117 530.42 4.036 525.41 4.140 545.16
68000 4.093 529.24 4.117 530.38 4.036 525.33 4.140 545.03
69000 4.088 529.01 4.122 530.21 4.036 525.29 4.140 544.98
70000 4.093 529.14 4.122 530.16 4.036 525.20 4.136 544.76
71000 4.093 529.03 4.122 530.09 4.036 525.15 4.140 544.63
72000 4.093 528.73 4.122 529.89 4.032 525.02 4.136 544.70
73000 4.088 528.70 4.122 529.85 4.036 525.00 4.136 544.51
74000 4.088 528.58 4.117 529.78 4.032 524.94 4.136 544.54
75000 4.088 528.43 4.117 529.59 4.036 524.88 4.140 544.43
76000 4.088 528.55 4.117 529.57 4.036 524.76 4.136 544.29
77000 4.088 528.53 4.117 529.44 4.032 524.78 4.136 544.13
78000 4.088 528.18 4.117 529.44 4.032 524.63 4.136 544.22
79000 4.088 528.06 4.117 529.34 4.032 524.56 4.136 544.18
80000 4.088 528.05 4.117 529.26 4.032 524.44 4.136 543.97
81000 4.088 527.92 4.117 529.15 4.032 524.37 4.136 543.86
82000 4.088 528.09 4.117 529.13 4.036 524.29 4.131 543.76
83000 4.088 527.99 4.112 529.05 4.032 524.25 4.136 543.63
84000 4.084 527.78 4.117 528.96 4.036 524.13 4.136 543.64
85000 4.088 527.57 4.112 528.83 4.036 524.11 4.136 543.58
86000 4.088 527.58 4.112 528.82 4.036 524.02 4.131 543.44
87000 4.088 527.53 4.112 528.71 4.032 523.98 4.131 543.35
88000 4.088 527.58 4.112 528.74 4.032 523.92 4.136 543.22
89000 4.084 527.62 4.112 528.67 4.032 523.82 4.131 543.18
90000 4.084 527.34 4.117 528.46 4.032 523.77 4.131 543.16
91000 4.084 527.31 4.112 528.46 4.032 523.71 4.131 543.12
92000 4.084 527.18 4.112 528.38 4.032 523.70 4.131 542.88
93000 4.084 527.03 4.112 528.27 4.032 523.66 4.131 542.83
94000 4.084 527.12 4.112 528.28 4.032 523.63 4.126 542.75
95000 4.084 527.04 4.112 528.15 4.032 523.56 4.131 542.63
96000 4.084 526.79 4.112 528.07 4.032 523.51 4.131 542.71
97000 4.084 526.65 4.112 527.89 4.032 523.44 4.131 542.74
98000 4.084 526.71 4.112 527.99 4.027 523.38 4.126 542.59
99000 4.084 526.66 4.112 527.87 4.027 523.41 4.131 542.51
100000 4.084 526.65 4.112 527.75 4.027 523.29 4.126 542.41
101000 4.088 526.65 4.112 527.68 4.027 523.32 4.126 542.30
102000 4.084 526.37 4.112 527.63 4.027 523.20 4.131 542.35
103000 4.084 526.26 4.112 527.53 4.027 523.20 4.126 542.23
104000 4.084 526.33 4.112 527.52 4.027 523.10 4.131 542.16
105000 4.084 526.24 4.107 527.46 4.027 523.04 4.126 542.13
106000 4.084 526.24 4.112 527.31 4.027 522.92 4.126 541.96
107000 4.084 526.30 4.107 527.28 4.027 523.08 4.122 541.91
108000 4.084 526.09 4.107 527.22 4.027 522.91 4.126 541.94
109000 4.084 525.94 4.112 527.20 4.027 522.82 4.126 541.87
110000 4.084 525.89 4.107 527.17 4.027 522.85 4.126 541.71
111000 4.084 525.89 4.107 527.07 4.027 522.66 4.131 541.69
112000 4.084 525.95 4.107 527.03 4.027 522.64 4.126 541.55
113000 4.084 525.91 4.107 526.98 4.027 522.62 4.126 541.47
