-0.36 0.076 Battery Metter V0.1
t v1 a1 v2 a2 v3 a3 v4 a4
1000 4.098 -0.73 4.188 -1.37 4.126 0.01 4.093 0.25
2000 4.093 -0.82 4.188 -1.52 4.126 -0.02 4.093 0.21
3000 4.098 -0.84 4.188 -1.42 4.131 -0.05 4.093 0.19
4000 4.093 -0.74 4.188 -1.45 4.126 -0.03 4.093 0.20
5000 4.093 -0.83 4.188 -1.33 4.126 -0.04 4.093 0.21
6000 4.098 -0.82 4.188 -1.48 4.126 -0.05 4.093 0.20
7000 4.093 -0.82 4.188 -1.50 4.131 -0.02 4.093 0.18
8000 4.093 -0.81 4.188 -1.43 4.126 -0.09 4.093 0.27
9000 4.093 -0.78 4.188 -1.47 4.131 -0.01 4.093 0.21
10000 4.098 -0.78 4.183 -1.42 4.131 -0.00 4.093 0.29
11000 4.093 -0.71 4.188 -1.46 4.126 0.08 4.093 0.34
12000 4.093 -0.77 4.188 -1.50 4.131 0.09 4.093 0.31
13000 4.093 -0.81 4.188 -1.60 4.131 0.07 4.093 0.43
14000 4.093 -0.92 4.188 -1.83 4.131 0.35 4.093 0.46
15000 4.093 -0.52 4.188 -1.50 4.131 0.24 4.093 0.12
16000 4.098 -0.22 4.188 -1.37 4.126 0.12 4.088 0.12
17000 4.041 527.23 4.136 536.63 4.060 531.61 4.036 535.68
18000 4.041 526.61 4.140 536.07 4.060 530.95 4.036 535.19
19000 4.041 526.23 4.136 535.74 4.060 530.55 4.036 534.69
20000 4.036 526.02 4.136 535.46 4.055 530.30 4.036 534.50
21000 4.036 525.79 4.136 535.12 4.055 530.13 4.032 534.10
22000 4.036 525.45 4.136 534.91 4.055 529.94 4.032 533.92
23000 4.036 525.13 4.131 534.60 4.055 529.75 4.036 533.82
24000 4.036 524.90 4.131 534.45 4.055 529.52 4.032 533.68
25000 4.036 524.73 4.136 534.32 4.055 529.36 4.032 533.44
26000 4.036 524.61 4.131 534.12 4.055 529.22 4.032 533.35
27000 4.032 524.58 4.131 533.96 4.055 529.07 4.032 533.16
28000 4.036 524.50 4.131 533.84 4.051 528.96 4.032 533.08
