0.31 0.071 Battery Metter V0.1
t v1 a1 v2 a2 v3 a3 v4 a4
1000 4.122 -0.59 4.084 -1.42 4.159 0.01 4.155 0.22
2000 4.122 -0.65 4.084 -1.49 4.159 -0.01 4.155 0.19
3000 4.122 -0.58 4.079 -1.54 4.164 0.03 4.155 0.19
4000 4.122 -0.61 4.084 -1.48 4.159 0.02 4.155 0.19
5000 4.122 -0.56 4.084 -1.52 4.164 0.01 4.155 0.22
6000 4.126 -0.63 4.084 -1.42 4.164 -0.00 4.155 0.23
7000 4.122 -0.63 4.079 -1.50 4.164 -0.04 4.155 0.22
8000 4.122 -0.62 4.084 -1.47 4.159 0.00 4.155 0.17
9000 4.122 -0.59 4.084 -1.45 4.159 0.03 4.155 0.18
10000 4.126 -0.70 4.084 -1.46 4.159 0.00 4.155 0.19
11000 4.126 -0.67 4.079 -1.47 4.159 0.04 4.155 0.18
12000 4.122 -0.67 4.084 -1.45 4.159 -0.07 4.155 0.18
13000 4.122 -0.62 4.084 -1.49 4.159 -0.07 4.155 0.21
14000 4.126 -0.62 4.084 -1.46 4.164 -0.03 4.155 0.15
15000 4.126 -0.60 4.079 -1.46 4.159 -0.08 4.150 0.17
16000 4.126 -0.66 4.079 -1.47 4.164 -0.05 4.155 0.14
17000 4.122 -0.61 4.079 -1.47 4.164 -0.04 4.155 0.16
18000 4.122 -0.58 4.084 -1.43 4.159 -0.03 4.155 0.17
19000 4.126 -0.66 4.084 -1.47 4.159 -0.00 4.155 0.22
20000 4.126 -0.66 4.079 -1.51 4.159 -0.02 4.155 0.18
21000 4.126 -0.65 4.084 -1.52 4.159 0.01 4.155 0.19
22000 4.126 -0.68 4.084 -1.47 4.159 -0.00 4.155 0.16
23000 4.122 -0.63 4.084 -1.46 4.159 -0.00 4.155 0.17
24000 4.122 -0.66 4.084 -1.49 4.159 -0.03 4.155 0.15
25000 4.122 -0.61 4.079 -1.50 4.164 -0.03 4.155 0.20
26000 4.131 -0.67 4.084 -1.49 4.159 0.00 4.155 0.16
27000 4.122 -0.70 4.079 -1.49 4.159 -0.08 4.155 0.16
28000 4.126 -0.67 4.079 -1.49 4.159 -0.06 4.150 0.15
29000 4.126 -0.66 4.084 -1.42 4.159 -0.04 4.155 0.16
30000 4.122 -0.61 4.084 -1.52 4.159 -0.07 4.150 0.17
31000 4.126 -0.70 4.084 -1.48 4.159 -0.03 4.155 0.18
32000 4.126 -0.66 4.079 -1.54 4.164 -0.10 4.155 0.19
33000 4.122 -0.65 4.079 -1.53 4.159 -0.08 4.150 0.15
34000 4.126 -0.67 4.084 -1.53 4.159 -0.02 4.150 0.18
35000 4.122 -0.69 4.084 -1.51 4.159 -0.03 4.155 0.17
36000 4.131 -0.67 4.084 -1.53 4.159 -0.02 4.155 0.21
