23126000 3.389 Battery Metter V0.1
t v1 a1 v2 a2 v3 a3 v4 a4
1000 4.098 -0.49 4.112 -1.67 4.103 -0.41 4.112 0.18
2000 4.098 -0.73 4.107 -1.78 4.107 -0.46 4.117 0.20
3000 4.093 -0.54 4.107 -1.84 4.103 -0.37 4.112 0.17
4000 4.098 0.04 4.107 -1.62 4.103 -0.29 4.112 0.10
5000 4.098 0.03 4.112 -1.54 4.103 -0.36 4.112 -0.03
6000 4.041 528.52 4.055 525.83 4.046 529.13 4.055 538.02
7000 4.046 527.94 4.055 525.16 4.041 528.67 4.055 537.52
8000 4.041 527.54 4.055 524.85 4.046 528.33 4.055 537.14
9000 4.041 527.14 4.055 524.50 4.046 527.99 4.055 536.77
10000 4.041 526.96 4.051 524.31 4.046 527.66 4.055 536.48
11000 4.041 526.75 4.051 524.08 4.041 527.56 4.055 536.24
12000 4.041 526.42 4.055 523.85 4.046 527.32 4.051 536.13
13000 4.036 526.27 4.055 523.76 4.041 527.16 4.051 536.03
14000 4.041 526.02 4.051 523.50 4.041 527.03 4.051 535.78
15000 4.036 525.87 4.051 523.37 4.041 526.97 4.051 535.71
16000 4.036 525.76 4.046 523.33 4.041 526.75 4.051 535.47
17000 4.036 525.70 4.051 523.06 4.041 526.69 4.051 535.29
18000 4.036 525.40 4.051 522.95 4.041 526.53 4.051 535.28
19000 4.041 525.27 4.046 522.86 4.041 526.50 4.051 535.09
20000 4.036 525.19 4.046 522.71 4.041 526.34 4.051 535.02
21000 4.036 525.10 4.046 522.61 4.041 526.33 4.051 534.86
22000 4.036 524.97 4.046 522.55 4.036 526.15 4.051 534.80
23000 4.036 524.94 4.046 522.38 4.041 526.01 4.051 534.60
24000 4.036 524.73 4.046 522.29 4.036 525.98 4.046 534.46
25000 4.036 524.62 4.046 522.29 4.036 525.83 4.051 534.43
26000 4.036 524.50 4.046 522.16 4.036 525.71 4.046 534.32
27000 4.032 524.50 4.046 521.98 4.036 525.64 4.046 534.14
28000 4.032 524.42 4.046 522.04 4.036 525.51 4.046 534.09
29000 4.032 524.47 4.041 521.88 4.036 525.47 4.046 534.11
30000 4.032 524.18 4.046 521.80 4.036 525.40 4.046 534.01
31000 4.032 524.08 4.046 521.70 4.032 525.38 4.046 533.91
32000 4.032 523.98 4.046 521.53 4.036 525.21 4.046 533.77
33000 4.032 523.98 4.041 521.49 4.036 525.23 4.046 533.69
34000 4.032 523.89 4.046 521.44 4.036 525.12 4.046 533.63
35000 4.032 523.87 4.046 521.41 4.036 525.11 4.041 533.55
36000 4.032 523.69 4.046 521.26 4.036 524.95 4.046 533.58
37000 4.032 523.58 4.041 521.14 4.036 524.88 4.046 533.46
38000 4.032 523.45 4.041 521.13 4.036 524.81 4.046 533.33
39000 4.027 523.49 4.041 521.07 4.032 524.82 4.041 533.23
40000 4.032 523.40 4.041 520.90 4.032 524.71 4.046 533.10
41000 4.032 523.41 4.041 520.85 4.032 524.62 4.041 532.99
42000 4.027 523.24 4.041 520.78 4.032 524.52 4.041 533.09
43000 4.027 523.04 4.041 520.71 4.036 524.45 4.041 532.93
44000 4.032 523.03 4.041 520.67 4.032 524.40 4.041 532.88
45000 4.027 523.05 4.041 520.54 4.032 524.25 4.041 532.76
46000 4.027 523.03 4.041 520.58 4.032 524.21 4.041 532.72
47000 4.027 522.98 4.041 520.48 4.032 524.20 4.041 532.66
48000 4.032 522.79 4.041 520.37 4.032 524.07 4.041 532.66
49000 4.027 522.69 4.041 520.36 4.032 524.01 4.041 532.61
50000 4.027 522.68 4.041 520.23 4.036 523.93 4.041 532.49
51000 4.027 522.62 4.041 520.24 4.032 523.89 4.041 532.45
52000 4.027 522.63 4.041 520.19 4.032 523.82 4.041 532.34
53000 4.027 522.57 4.036 520.19 4.032 523.78 4.041 532.29
54000 4.027 522.50 4.041 520.07 4.032 523.72 4.041 532.32
55000 4.027 522.31 4.041 519.94 4.032 523.65 4.041 532.25
56000 4.027 522.24 4.041 519.96 4.032 523.62 4.041 532.18
57000 4.022 522.30 4.036 519.85 4.027 523.64 4.041 532.09
58000 4.027 522.20 4.036 519.89 4.032 523.54 4.041 532.08
59000 4.027 522.22 4.036 519.76 4.027 523.51 4.041 532.00
60000 4.027 521.99 4.036 519.76 4.032 523.46 4.036 531.98
61000 4.027 521.86 4.036 519.58 4.032 523.40 4.036 531.87
62000 4.027 521.82 4.036 519.59 4.027 523.33 4.041 531.88
63000 4.027 521.84 4.036 519.54 4.027 523.34 4.041 531.76
64000 4.027 521.83 4.036 519.49 4.027 523.23 4.041 531.72
65000 4.027 521.74 4.036 519.43 4.027 523.20 4.036 531.65
66000 4.027 521.58 4.036 519.39 4.027 523.12 4.036 531.59
67000 4.027 521.52 4.036 519.27 4.027 523.14 4.036 531.55
68000 4.022 521.48 4.036 519.27 4.027 523.06 4.036 531.59
69000 4.027 521.46 4.036 519.14 4.027 523.04 4.036 531.42
70000 4.027 521.48 4.036 519.14 4.027 522.89 4.036 531.34
71000 4.027 521.50 4.036 519.10 4.027 522.88 4.036 531.29
72000 4.027 521.29 4.036 519.08 4.027 522.80 4.036 531.20
73000 4.027 521.11 4.036 518.97 4.027 522.79 4.036 531.25
74000 4.027 521.21 4.036 518.96 4.027 522.72 4.036 531.13
75000 4.027 521.16 4.036 518.89 4.027 522.72 4.036 531.03
76000 4.027 521.25 4.036 518.90 4.027 522.63 4.036 531.12
77000 4.022 521.17 4.036 518.78 4.027 522.62 4.036 530.93
78000 4.022 521.06 4.032 518.74 4.027 522.47 4.036 530.96
79000 4.022 520.99 4.036 518.71 4.027 522.47 4.036 530.88
80000 4.027 520.96 4.036 518.59 4.027 522.42 4.036 530.88
